Tipo esercizio storico pubblico esercizio;Insegna;Indirizzo;Tipo via;Nome via;Civico;Codice via;ZD;Forma commercio;Forma commercio precedente;Forma vendita;Settore storico pubblico esercizio;Superficie somministrazione;Tipo_macro;Forma vendita_filled;is_outlier_superficie
bar caffè;unknown;cso di porta vittoria n. 47 (z.d. 1);cso;di porta vittoria;47;3016;1;solo somministrazione;somministrazione;al banco;"bar pasticc.gelat.crem.creper.;bar pasticc.gelat.crem.creper.";98.0;BAR;non dichiarata;False
bar caffè;unknown;"cso di porta vittoria n. 51 ingresso via donizetti; (z.d. 1)";cso;di porta vittoria;51;3016;1;solo somministrazione;somministrazione;al banco;genere merceol.autorizz.sanit.;53.0;GASTRONOMIA;non dichiarata;False
bar caffè;unknown;cso europa n. 18 (z.d. 1);cso;europa;18;300;1;solo somministrazione;somministrazione;al banco;genere merceol.autorizz.sanit.;149.8;GASTRONOMIA;non dichiarata;False
bar caffè;unknown;cso europa n. 22 (z.d. 1);cso;europa;22;300;1;solo somministrazione;somministrazione;al banco;genere merceol.autorizz.sanit.;34.0;GASTRONOMIA;non dichiarata;False
ristorante, trattoria, osteria;unknown;cso europa n. 5 (z.d. 1);cso;europa;5;300;1;solo somministrazione;somministrazione;al tavolo;ristorante, trattoria, osteria;185.0;RISTORANTE;non dichiarata;False
bar caffè;unknown;cso garibaldi giuseppe n. 104 (z.d. 1);cso;garibaldi giuseppe;104;1010;1;solo somministrazione;somministrazione;al banco;"bar pasticc.gelat.crem.creper.;bar caffè;gelateria;genere merceol.autorizz.sanit.;tavola fredda";32.0;BAR;non dichiarata;False
bar caffè;unknown;cso garibaldi giuseppe n. 12 (z.d. 1);cso;garibaldi giuseppe;12;1010;1;solo somministrazione;somministrazione;al banco;"bar caffè;bar caffè e simili;tavola fredda;bar pasticc.gelat.crem.creper.;bar gastronomici e simili";118.0;BAR;non dichiarata;False
bar caffè;unknown;cso garibaldi giuseppe n. 34 (z.d. 1);cso;garibaldi giuseppe;34;1010;1;solo somministrazione;somministrazione;al tavolo;"ristorante, trattoria, osteria;bar caffè e simili";58.0;RISTORANTE;non dichiarata;False
bar caffè;unknown;cso garibaldi giuseppe n. 36 (z.d. 1);cso;garibaldi giuseppe;36;1010;1;solo somministrazione;somministrazione;al banco;"bar gastronomici e simili;bar caffè e simili";58.0;BAR;non dichiarata;False
bar caffè;unknown;cso garibaldi giuseppe n. 59 (z.d. 1);cso;garibaldi giuseppe;59;1010;1;solo somministrazione;somministrazione;al banco;"bar caffè e simili;bar gastronomici e simili";117.0;BAR;non dichiarata;False
bar caffè;unknown;cso garibaldi giuseppe n. 59 (z.d. 1);cso;garibaldi giuseppe;59;1010;1;solo somministrazione;somministrazione;al banco;bar gastronomici e simili;38.0;BAR;non dichiarata;False
bar caffè;unknown;cso garibaldi giuseppe n. 68 (z.d. 1);cso;garibaldi giuseppe;68;1010;1;solo somministrazione;somministrazione;al tavolo;"bar caffè;ristorante;ristorante, trattoria, osteria;wine,birr.,pub enot.,caff.,the";114.0;RISTORANTE;non dichiarata;False
bar caffè;unknown;cso garibaldi giuseppe n. 79 (z.d. 1);cso;garibaldi giuseppe;79;1010;1;solo somministrazione;somministrazione;al banco;bar gastronomici e simili;60.0;BAR;non dichiarata;False
bar caffè;unknown;cso garibaldi giuseppe n. 81 (z.d. 1);cso;garibaldi giuseppe;81;1010;1;solo somministrazione;somministrazione;al banco;genere merceol.autorizz.sanit.;72.35483870967742;GASTRONOMIA;non dichiarata;False
bar caffè;unknown;cso italia n. 34 (z.d. 1);cso;italia;34;526;1;solo somministrazione;somministrazione;al banco;"tavola fredda;genere merceol.autorizz.sanit.;bar caffè;bar caffè e simili;cibi cotti preconfezionati;bar gastronomici e simili";43.0;BAR;non dichiarata;False
bar caffè;unknown;via foscolo ugo n. 4 (z.d. 1);via;foscolo ugo;4;205;1;solo somministrazione;somministrazione;al banco;"bar caffè;tavola fredda;bar caffè e simili;bar gastronomici e simili";52.0;BAR;non dichiarata;False
bar caffè;unknown;cso genova n. 7 (z.d. 1);cso;genova;7;5164;1;solo somministrazione;somministrazione;al banco;bar caffè e simili;19.0;BAR;non dichiarata;False
bar caffè;unknown;cso indipendenza n. 12 (z.d. 4);cso;indipendenza;12;3118;4;solo somministrazione;somministrazione;al banco;"bar gastronomici e simili;bar caffè e simili";41.0;BAR;non dichiarata;False
bar caffè;unknown;cso italia n. 34 (z.d. 1);cso;italia;34;526;1;solo somministrazione;somministrazione;al banco;"bar gastronomici e simili;bar caffè e simili";52.0;BAR;non dichiarata;False
bar caffè;unknown;cso italia n. 6 (z.d. 1);cso;italia;6;526;1;solo somministrazione;somministrazione;al tavolo;"ristorante, trattoria, osteria;bar caffè e simili";97.0;RISTORANTE;non dichiarata;False
bar caffè;unknown;cso di porta romana n. 51 (z.d. 1);cso;di porta romana;51;402;1;solo somministrazione;somministrazione;al banco;bar gastronomici e simili;82.0;BAR;non dichiarata;False
bar caffè;unknown;cso lodi n. 104 (z.d. 4);cso;lodi;104;4068;4;solo somministrazione;somministrazione;al banco;genere merceol.autorizz.sanit.;20.0;GASTRONOMIA;non dichiarata;False
bar caffè;unknown;cso lodi n. 59 (z.d. 4);cso;lodi;59;4068;4;solo somministrazione;somministrazione;al banco;genere merceol.autorizz.sanit.;29.0;GASTRONOMIA;non dichiarata;False
bar caffè;unknown;cso lodi n. 83 (z.d. 4);cso;lodi;83;4068;4;solo somministrazione;somministrazione;al banco;genere merceol.autorizz.sanit.;21.0;GASTRONOMIA;non dichiarata;False
bar caffè;unknown;cso lodi n. 92 (z.d. 4);cso;lodi;92;4068;4;solo somministrazione;somministrazione;al banco;genere merceol.autorizz.sanit.;36.0;GASTRONOMIA;non dichiarata;False
bar caffè;unknown;cso magenta n. 24 (z.d. 1);cso;magenta;24;604;1;solo somministrazione;somministrazione;al banco;"bar gastronomici e simili;bar caffè e simili";186.0;BAR;non dichiarata;False
bar caffè;unknown;cso magenta n. 48 (z.d. 1);cso;magenta;48;604;1;solo somministrazione;somministrazione;al banco;"bar caffè e simili;cibi cotti preconfezionati;bar caffè;bar gastronomici e simili;tavola fredda";108.0;BAR;non dichiarata;False
bar caffè;unknown;cso magenta n. 65 (z.d. 1);cso;magenta;65;604;1;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;bar caffè;cibi cotti preconfezionati;bar gastronomici e simili;tavola fredda";31.0;BAR;non dichiarata;False
ristorante;unknown;cso magenta n. 87 (z.d. 1);cso;magenta;87;604;1;solo somministrazione;somministrazione;al tavolo;"ristorante;ristorante, trattoria, osteria;genere merceol.autorizz.sanit.";104.0;RISTORANTE;non dichiarata;False
bar caffè;unknown;"cso matteotti giacomo n. 4 8 piano; (z.d. 1)";cso;matteotti giacomo;4;218;1;solo somministrazione;somministrazione;al banco;genere merceol.autorizz.sanit.;60.0;GASTRONOMIA;non dichiarata;False
bar caffè;unknown;"cso matteotti giacomo n. 4 c/o hotel; (z.d. 1)";cso;matteotti giacomo;4;218;1;solo somministrazione;somministrazione;al banco;genere merceol.autorizz.sanit.;166.0;GASTRONOMIA;non dichiarata;False
bar caffè;unknown;"cso matteotti giacomo n. 6 c/o hotel; (z.d. 1)";cso;matteotti giacomo;6;218;1;solo somministrazione;somministrazione;al banco;genere merceol.autorizz.sanit.;179.0;GASTRONOMIA;non dichiarata;False
bar caffè;unknown;cso san gottardo n. 2 (z.d. 5);cso;san gottardo;2;5203;5;solo somministrazione;somministrazione;al banco;"bar gastronomici e simili;seconda bottiglia";139.0;BAR;non dichiarata;False
bar caffè;unknown;cso san gottardo n. 49 (z.d. 5);cso;san gottardo;49;5203;5;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;tavola calda;bar gastronomici e simili;bar caffè;cibi cotti preconfezionati";47.0;BAR;non dichiarata;False
bar caffè;unknown;cso san gottardo n. 8 (z.d. 5);cso;san gottardo;8;5203;5;solo somministrazione;somministrazione;al banco;"tav.calde,self service,fast f.;bar pasticc.gelat.crem.creper.;tavola fredda;genere merceol.autorizz.sanit.;tavola calda;bar caffè;bar gastronomici e simili";41.0;BAR;non dichiarata;False
bar caffè;unknown;cso sempione n. 10 (z.d. 1);cso;sempione;10;7137;1;solo somministrazione;somministrazione;al tavolo;"ristorante, trattoria, osteria;bar caffè;ristorante";101.0;RISTORANTE;non dichiarata;False
bar caffè;unknown;cso sempione n. 11 (z.d. 1);cso;sempione;11;7137;1;solo somministrazione;somministrazione;al tavolo;"ristorante, trattoria, osteria;bar caffè e simili";89.0;RISTORANTE;non dichiarata;False
bar caffè;unknown;cso sempione n. 30 (z.d. 8);cso;sempione;30;7137;8;solo somministrazione;somministrazione;al tavolo;"pizzeria;pizzerie e simili;ristorante;bar caffè;bar caffè e simili;ristorante, trattoria, osteria";204.0;RISTORANTE;non dichiarata;False
bar caffè;unknown;cso sempione n. 34 (z.d. 8);cso;sempione;34;7137;8;solo somministrazione;somministrazione;al banco;genere merceol.autorizz.sanit.;119.0;GASTRONOMIA;non dichiarata;False
ristorante, trattoria, osteria;unknown;cso sempione n. 34 (z.d. 8);cso;sempione;34;7137;8;solo somministrazione;somministrazione;al tavolo;ristorante, trattoria, osteria;83.0;RISTORANTE;non dichiarata;False
ristorante, trattoria, osteria;unknown;cso sempione n. 81 (z.d. 8);cso;sempione;81;7137;8;solo somministrazione;somministrazione;al tavolo;ristorante, trattoria, osteria;35.0;RISTORANTE;non dichiarata;False
bar caffè;unknown;"cso sempione n. 88 con ingr.da v.piero d.francesc; (z.d. 8)";cso;sempione;88;7137;8;solo somministrazione;somministrazione;al tavolo;"genere merceol.autorizz.sanit.;ristorante, trattoria, osteria;bar gastronomici e simili";85.0;RISTORANTE;non dichiarata;False
bar caffè;unknown;cso ventidue marzo n. 25 (z.d. 4);cso;ventidue marzo;25;3074;4;solo somministrazione;somministrazione;al banco;bar gastronomici e simili;60.0;BAR;non dichiarata;False
bar caffè;unknown;cso ventidue marzo n. 49 (z.d. 4);cso;ventidue marzo;49;3074;4;solo somministrazione;somministrazione;al banco;"tavola fredda;cibi cotti preconfezionati;bar caffè;bar gastronomici e simili";24.0;BAR;non dichiarata;False
ristorante;unknown;gll passarella n. 2 (z.d. 1);gll;passarella;2;303;1;solo somministrazione;somministrazione;al tavolo;"ristorante;bar caffè";243.5;RISTORANTE;non dichiarata;False
bar caffè;unknown;lgo augusto n. 3 (z.d. 1);lgo;augusto;3;315;1;solo somministrazione;somministrazione;al banco;bar gastronomici e simili;61.0;BAR;non dichiarata;False
bar caffè;unknown;lgo brasilia n. 4 (z.d. 6);lgo;brasilia;4;6145;6;solo somministrazione;somministrazione;al tavolo;"ristorante;ristorante, trattoria, osteria;genere merceol.autorizz.sanit.;pizzeria;bar caffè;pizzerie e simili";98.0;RISTORANTE;non dichiarata;False
ristorante;unknown;lgo cairoli n. 2 (z.d. 1);lgo;cairoli;2;710;1;solo somministrazione;somministrazione;al tavolo;ristorante;96.78737547290048;RISTORANTE;non dichiarata;False
bar caffè;unknown;lgo dei gelsomini n. 2 (z.d. 6);lgo;dei gelsomini;2;5394;6;solo somministrazione;somministrazione;al banco;"bar caffè;tavola fredda;genere merceol.autorizz.sanit.;bar caffè e simili;bar gastronomici e simili;cibi cotti preconfezionati";67.0;BAR;non dichiarata;False
bar caffè;unknown;lgo la foppa n. 5 (z.d. 1);lgo;la foppa;5;1033;1;solo somministrazione;somministrazione;al banco;"bar gastronomici e simili;bar caffè e simili";43.0;BAR;non dichiarata;False
bar caffè;unknown;lgo rodari gianni n. 1 (z.d. 4);lgo;rodari gianni;1;3305;4;solo somministrazione;somministrazione;al banco;bar gastronomici e simili;42.0;BAR;non dichiarata;False
ristorante, trattoria, osteria;unknown;lgo schuster ildefonso n. 1 (z.d. 1);lgo;schuster ildefonso;1;311;1;solo somministrazione;somministrazione;al tavolo;ristorante, trattoria, osteria;93.0;RISTORANTE;non dichiarata;False
bar caffè;unknown;lgo settimio severo n. 1 (z.d. 7);lgo;settimio severo;1;6210;7;solo somministrazione;somministrazione;al banco;bar gastronomici e simili;77.0;BAR;non dichiarata;False
wine,birr.,pub enot.,caff.,the;unknown;ple arduino n. 5 (z.d. 8);ple;arduino;5;6365;8;solo somministrazione;somministrazione;al banco;wine,birr.,pub enot.,caff.,the;21.0;BAR;non dichiarata;False
bar caffè;unknown;ple cantore antonio n. 3 (z.d. 1);ple;cantore antonio;3;5103;1;solo somministrazione;somministrazione;al banco;genere merceol.autorizz.sanit.;55.0;GASTRONOMIA;non dichiarata;False
bar caffè;unknown;ple cantore antonio n. 4 (z.d. 1);ple;cantore antonio;4;5103;1;solo somministrazione;somministrazione;al banco;"bar caffè;bar caffè e simili;tavola fredda";38.0;BAR;non dichiarata;False
bar caffè;unknown;ple cuoco vincenzo n. 4 (z.d. 4);ple;cuoco vincenzo;4;3163;4;solo somministrazione;somministrazione;al tavolo;"trattoria;pizzeria;pizzerie e simili;bar caffè;genere merceol.autorizz.sanit.";55.0;RISTORANTE;non dichiarata;False
bar caffè;unknown;"ple dello sport n. 14 primo piano; (z.d. 7)";ple;dello sport;14;6518;7;solo somministrazione;somministrazione;al banco;bar caffè e simili;115.0;BAR;non dichiarata;False
ristorante, trattoria, osteria;unknown;ple dello sport n. 20 (z.d. 7);ple;dello sport;20;6518;7;solo somministrazione;somministrazione;al tavolo;ristorante, trattoria, osteria;271.0;RISTORANTE;non dichiarata;False
ristorante, trattoria, osteria;unknown;ple governo provvisorio di lombardia n. 4 (z.d. 2);ple;governo provvisorio di lombardia;4;2331;2;solo somministrazione;somministrazione;al tavolo;ristorante, trattoria, osteria;41.0;RISTORANTE;non dichiarata;False
bar caffè;unknown;ple istria n. 12 (z.d. 2);ple;istria;12;1347;2;solo somministrazione;somministrazione;al banco;"tavola fredda;bar caffè;cibi cotti preconfezionati;bar gastronomici e simili";45.0;BAR;non dichiarata;False
bar caffè;unknown;ple lagosta n. 2 (z.d. 9);ple;lagosta;2;1155;9;solo somministrazione;somministrazione;al banco;"bar caffè e simili;bar gastronomici e simili";25.0;BAR;non dichiarata;False
bar caffè;unknown;ple lagosta n. 4 (z.d. 9);ple;lagosta;4;1155;9;solo somministrazione;somministrazione;al banco;bar gastronomici e simili;59.0;BAR;non dichiarata;False
bar caffè;unknown;ple lugano n. 22 (z.d. 9);ple;lugano;22;1238;9;solo somministrazione;somministrazione;al tavolo;"genere merceol.autorizz.sanit.;pizzeria;ristorante, trattoria, osteria;tavola calda;trattoria;bar caffè";206.0;RISTORANTE;non dichiarata;False
bar caffè;unknown;ple maciachini carlo n. 1 (z.d. 9);ple;maciachini carlo;1;1361;9;solo somministrazione;somministrazione;al banco;genere merceol.autorizz.sanit.;65.0;GASTRONOMIA;non dichiarata;False
bar caffè;unknown;ple perrucchetti giuseppe n. 4 (z.d. 7);ple;perrucchetti giuseppe;4;6632;7;solo somministrazione;somministrazione;al banco;genere merceol.autorizz.sanit.;10.0;GASTRONOMIA;non dichiarata;False
bar caffè;unknown;ple principessa clotilde n. 10 (z.d. 9);ple;principessa clotilde;10;1061;9;solo somministrazione;somministrazione;al banco;genere merceol.autorizz.sanit.;118.0;GASTRONOMIA;non dichiarata;False
bar pasticc.gelat.crem.creper.;unknown;ple stazione di porta genova n. 2 (z.d. 6);ple;stazione di porta genova;2;5120;6;solo somministrazione;somministrazione;al banco;bar pasticc.gelat.crem.creper.;39.0;BAR;non dichiarata;False
bar caffè;unknown;ple susa n. 4 (z.d. 4);ple;susa;4;3101;4;solo somministrazione;somministrazione;al banco;;101.7;ALTRO;non dichiarata;False
bar caffè;unknown;pta pattari n. 2 (z.d. 1);pta;pattari;2;299;1;solo somministrazione;somministrazione;al banco;genere merceol.autorizz.sanit.;34.0;GASTRONOMIA;non dichiarata;False
bar caffè;unknown;pza angilberto ii n. 2 (z.d. 4);pza;angilberto ii;2;4278;4;solo somministrazione;somministrazione;al banco;bar gastronomici e simili;60.0;BAR;non dichiarata;False
bar caffè;unknown;pza bausan giovanni n. 4 (z.d. 9);pza;bausan giovanni;4;1262;9;solo somministrazione;somministrazione;misto;"bar caffè e simili;bar gastronomici e simili;pizzerie e simili";25.0;PIZZERIA;non dichiarata;False
bar caffè;unknown;pza beccaria cesare n. 10 (z.d. 1);pza;beccaria cesare;10;306;1;solo somministrazione;somministrazione;al banco;genere merceol.autorizz.sanit.;136.0;GASTRONOMIA;non dichiarata;False
bar caffè;unknown;pza bolivar simone n. 4 (z.d. 6);pza;bolivar simone;4;6129;6;solo somministrazione;somministrazione;al banco;bar caffè e simili;44.0;BAR;non dichiarata;False
bar caffè;unknown;pza bonomelli geremia n. 10 (z.d. 5);pza;bonomelli geremia;10;4150;5;solo somministrazione;somministrazione;al banco;genere merceol.autorizz.sanit.;58.0;GASTRONOMIA;non dichiarata;False
bar caffè;unknown;pza bonomelli geremia n. 4 (z.d. 5);pza;bonomelli geremia;4;4150;4;solo somministrazione;somministrazione;al banco;genere merceol.autorizz.sanit.;52.0;GASTRONOMIA;non dichiarata;False
bar caffè;unknown;pza bonomelli geremia n. 5 (z.d. 5);pza;bonomelli geremia;5;4150;5;solo somministrazione;somministrazione;al banco;bar caffè e simili;43.0;BAR;non dichiarata;False
bar caffè;unknown;pza bonomelli geremia n. 5 (z.d. 5);pza;bonomelli geremia;5;4150;5;solo somministrazione;somministrazione;al tavolo;"pizzeria;ristorante, trattoria, osteria;genere merceol.autorizz.sanit.;pizzerie e simili;ristorante";83.0;RISTORANTE;non dichiarata;False
bar caffè;unknown;pza caro tito lucrezio n. 1 (z.d. 5);pza;caro tito lucrezio;1;5208;5;solo somministrazione;somministrazione;al tavolo;"genere merceol.autorizz.sanit.;tavola fredda;ristorante;bar caffè;ristorante, trattoria, osteria;bar caffè e simili";112.0;RISTORANTE;non dichiarata;False
ristorante, trattoria, osteria;unknown;pza castello n. 1 (z.d. 1);pza;castello;1;704;1;solo somministrazione;somministrazione;al tavolo;"bar caffè e simili;ristorante, trattoria, osteria";248.0;RISTORANTE;non dichiarata;False
bar caffè;unknown;pza cavour n. 7 (z.d. 1);pza;cavour;7;237;1;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;bar gastronomici e simili;bar caffè;tav.calde,self service,fast f.";34.0;BAR;non dichiarata;False
bar caffè;unknown;pza cinque giornate n. 6 (z.d. 1);pza;cinque giornate;6;3053;1;solo somministrazione;somministrazione;al banco;bar caffè e simili;31.0;BAR;non dichiarata;False
bar caffè;unknown;pza cinque giornate n. 6 (z.d. 1);pza;cinque giornate;6;3053;1;solo somministrazione;somministrazione;al banco;"bar gastronomici e simili;bar caffè;bar caffè e simili";15.0;BAR;non dichiarata;False
bar caffè;unknown;"pza cordusio n. 2 con ingresso in via orefici; (z.d. 1)";pza;cordusio;2;626;1;solo somministrazione;somministrazione;al banco;genere merceol.autorizz.sanit.;143.0;GASTRONOMIA;non dichiarata;False
wine,birr.,pub enot.,caff.,the;unknown;pza del carmine n. 6 (z.d. 1);pza;del carmine;6;129;1;solo somministrazione;somministrazione;al banco;wine,birr.,pub enot.,caff.,the;40.0;BAR;non dichiarata;False
bar caffè;unknown;pza del duomo n. 12 c/o palazzo reale (z.d. 1);pza;del duomo;12;1;1;solo somministrazione;somministrazione;al banco;genere merceol.autorizz.sanit.;96.0;GASTRONOMIA;non dichiarata;False
bar caffè;unknown;pza del duomo n. 12 (z.d. 1);pza;del duomo;12;1;1;solo somministrazione;somministrazione;al banco;genere merceol.autorizz.sanit.;245.4;GASTRONOMIA;non dichiarata;False
bar caffè;unknown;"pza del duomo num.000 ; (z.d. 1)";pza;del duomo;0;1;1;solo somministrazione;somministrazione;al banco;bar caffè;245.4;BAR;non dichiarata;False
bar caffè;unknown;pza della trivulziana n. 2 (z.d. 9);pza;della trivulziana;2;1765;9;solo somministrazione;somministrazione;al banco;bar gastronomici e simili;43.0;BAR;non dichiarata;False
wine,birr.,pub enot.,caff.,the;unknown;pza della trivulziana n. 2 (z.d. 9);pza;della trivulziana;2;1765;9;solo somministrazione;somministrazione;al banco;wine,birr.,pub enot.,caff.,the;45.0;BAR;non dichiarata;False
bar caffè;unknown;pza della trivulziana n. 3 (z.d. 9);pza;della trivulziana;3;1765;9;solo somministrazione;somministrazione;al banco;"bar gastronomici e simili;bar caffè e simili;wine,birr.,pub enot.,caff.,the";63.0;BAR;non dichiarata;False
